Generator,p_nom_opt
GB0 1 retrofitting ambitious residential urban decentral heat,5.054980771586766e-07
GB0 1 retrofitting moderate residential urban decentral heat,0.03105761299447971
GB0 2 retrofitting ambitious residential urban decentral heat,0.0011769530237386839
GB0 2 retrofitting moderate residential urban decentral heat,0.012482211428157515
GB5 0 retrofitting ambitious residential urban decentral heat,3.833543558477992e-06
GB5 0 retrofitting moderate residential urban decentral heat,4.457177506647686e-06
GR1 0 retrofitting ambitious residential urban decentral heat,1.2003993035096242e-05
GR1 0 retrofitting moderate residential urban decentral heat,3.0132315515805088e-05
HR1 0 retrofitting ambitious residential urban decentral heat,585.3531601516207
HR1 0 retrofitting moderate residential urban decentral heat,1350.2139131554
HU1 0 retrofitting ambitious residential urban decentral heat,2132.7222202400008
HU1 0 retrofitting moderate residential urban decentral heat,4019.9642406497596
IE5 0 retrofitting ambitious residential urban decentral heat,3.0635385744042197e-06
IE5 0 retrofitting moderate residential urban decentral heat,0.0006526093604658869
IT1 0 retrofitting ambitious residential urban decentral heat,6097.6432597886005
IT1 0 retrofitting moderate residential urban decentral heat,15796.406437830934
IT1 1 retrofitting ambitious residential urban decentral heat,5398.38426613603
IT1 1 retrofitting moderate residential urban decentral heat,13984.921622536907
LT6 0 retrofitting ambitious residential urban decentral heat,242.7840442011287
LT6 0 retrofitting moderate residential urban decentral heat,432.206700579404
LU1 0 retrofitting ambitious residential urban decentral heat,164.8423573488904
LU1 0 retrofitting moderate residential urban decentral heat,473.54546725353373
LV6 0 retrofitting ambitious residential urban decentral heat,251.26364489220308
LV6 0 retrofitting moderate residential urban decentral heat,526.1932968160733
ME1 0 retrofitting ambitious residential urban decentral heat,40.99092348381278
ME1 0 retrofitting moderate residential urban decentral heat,94.55233265295384
MK1 0 retrofitting ambitious residential urban decentral heat,1.9168695455043948e-06
MK1 0 retrofitting moderate residential urban decentral heat,3.132194176012832e-06
NL1 0 retrofitting ambitious residential urban decentral heat,0.0014805280381397468
NL1 0 retrofitting moderate residential urban decentral heat,0.008992327177428129
NO2 0 retrofitting ambitious residential urban decentral heat,0.0
NO2 0 retrofitting moderate residential urban decentral heat,0.0035725688550033888
PL1 0 retrofitting ambitious residential urban decentral heat,3944.838648771043
