name,busmap
way/1024536785-380,DE2 0AC
way/102743264-220,DE2 4AC
way/1040551074-220,DE2 0AC
way/1068350839-380,DE2 3AC
way/1072574879-380,DE2 1AC
way/1076001174-220,DE2 0AC
way/1086825107-220,DE2 2AC
way/108797675-380,DE2 4AC
way/1089911133-380,DE2 1AC
way/1093896544-380,DE2 2AC
way/1094015892-220,DE2 3AC
way/109917397-380,DE2 3AC
way/1102237380-220,DE2 1AC
way/1107961833-380,DE2 1AC
way/1128250704-220,DE2 1AC
way/11285720-380,DE2 1AC
way/113546939-220,DE2 0AC
way/11500045-380,DE2 3AC
way/1191459479-220,DE2 1AC
way/1223405794-220,DE2 4AC
way/1245826064-380,DE2 0AC
way/1280364402-380,DE2 1AC
way/1280840212-380,DE2 0AC
way/1280843651-380,DE2 0AC
way/1282733005-220,DE2 3AC
way/132814303-220,DE2 0AC
way/133342285-220,DE2 2AC
way/133349218-220,DE2 2AC
way/137602559-220,DE2 2AC
way/143854536-380,DE2 4AC
way/143903369-220,DE2 4AC
way/1443360811-220,DE2 4AC
way/145002769-380,DE2 4AC
way/145680894-220,DE2 0AC
way/1457146135-380,DE2 0AC
way/1457148205-380,DE2 0AC
way/1457398329-380,DE2 0AC
way/1457401987-220,DE2 0AC
way/1460084299-380,DE2 0AC
way/1462794215-380,DE2 0AC
way/1462796335-220,DE2 0AC
way/1463052734-380,DE2 1AC
way/1463441460-380,DE2 0AC
way/1463641515-220,DE2 0AC
way/1463642809-220,DE2 0AC
way/1463871347-220,DE2 0AC
way/1463872032-220,DE2 0AC
way/1463882574-380,DE2 0AC
way/1463920457-380,DE2 0AC
way/1464535491-220,DE2 0AC
way/1464536984-220,DE2 0AC
way/1464561951-380,DE2 4AC
way/1464801125-220,DE2 3AC
way/1467276102-220,DE2 4AC
way/147521567-380,DE2 4AC
way/148446247-380,DE2 4AC
way/149256409-380,DE2 2AC
way/149987048-220,DE2 4AC
way/151967290-220,DE2 0AC
way/151967291-220,DE2 0AC
way/152018146-220,DE2 4AC
way/152107815-380,DE2 4AC
way/152261133-220,DE2 4AC
way/152403632-220,DE2 0AC
way/152924498-220,DE2 4AC
way/152924508-220,DE2 4AC
way/156402422-220,DE2 4AC
way/156673636-380,DE2 1AC
way/156676050-220,DE2 4AC
way/156960655-380,DE2 1AC
way/157164284-220,DE2 1AC
way/157328339-380,DE2 3AC
way/157806991-380,DE2 3AC
way/160584794-380,DE2 0AC
way/170123812-380,DE2 3AC
way/172997498-220,DE2 1AC
way/18629425-220,DE2 2AC
way/198448981-380,DE2 4AC
way/206289192-380,DE2 0AC
way/207248812-220,DE2 4AC
way/22720647-220,DE2 1AC
way/22761839-220,DE2 0AC
way/22765517-220,DE2 0AC
way/22766160-220,DE2 0AC
way/22944791-220,DE2 0AC
way/22960899-380,DE2 4AC
way/22973052-220,DE2 3AC
way/23084554-220,DE2 0AC
way/23117075-220,DE2 3AC
way/23284340-220,DE2 4AC
way/23380800-220,DE2 0AC
way/234171369-380,DE2 3AC
way/23583867-380,DE2 1AC
way/23641079-220,DE2 4AC
way/23899043-380,DE2 1AC
way/24042358-380,DE2 4AC
way/24158385-220,DE2 2AC
way/24230738-380,DE2 1AC
way/24237879-220,DE2 2AC
way/24258096-380,DE2 1AC
way/24262656-220,DE2 1AC
way/24272339-380,DE2 1AC
way/24413992-380,DE2 1AC
way/24462426-220,DE2 0AC
way/24478889-220,DE2 0AC
way/24479003-220,DE2 0AC
way/24493551-380,DE2 1AC
way/24502420-380,DE2 1AC
way/24604789-380,DE2 1AC
